asset_id,vibration_mms,temperature_c,rpm,oil_viscosity_cst,load_pct,predicted_rul_days,epistemic_uncertainty,aleatoric_uncertainty
WTG-001,2.1,58.0,1500,32.0,80.0,240.0,0.05,0.10
WTG-002,3.0,65.0,1520,30.0,85.0,150.0,0.07,0.12
WTG-003,4.2,72.0,1600,18.0,92.0,55.0,0.09,0.18
WTG-004,2.4,59.5,1490,33.0,76.0,265.0,0.04,0.09
WTG-005,3.3,66.5,1540,29.0,88.0,128.0,0.06,0.13
WTG-006,3.8,69.0,1570,24.0,90.0,96.0,0.08,0.15
WTG-007,2.8,60.0,1490,34.0,78.0,300.0,0.03,0.09
WTG-008,4.4,74.5,1620,16.0,93.0,42.0,0.10,0.19
WTG-009,2.0,57.0,1470,35.0,74.0,330.0,0.03,0.08
WTG-010,3.6,68.0,1560,26.0,89.0,108.0,0.07,0.14
WTG-011,4.6,78.0,1650,14.0,94.0,30.0,0.11,0.20
WTG-012,2.6,59.0,1500,31.0,81.0,220.0,0.05,0.10
WTG-013,3.1,64.0,1530,30.0,84.0,165.0,0.06,0.12
WTG-014,4.9,83.0,1790,11.0,96.0,12.0,0.14,0.24
WTG-015,2.2,58.5,1480,33.5,77.0,275.0,0.04,0.09
WTG-016,3.9,70.0,1580,22.0,91.0,85.0,0.08,0.16
WTG-017,5.1,85.0,1800,10.0,98.0,7.5,0.16,0.26
WTG-018,2.7,61.0,1510,32.0,79.0,195.0,0.04,0.11
WTG-019,5.5,88.0,1810,9.0,102.0,6.0,0.15,0.25
WTG-044,4.8,82.0,1780,12.0,95.0,14.2,0.04,0.12
